Distance_(µm),Gray_Value
0.00000,0.000
0.00149,0.000
0.00298,0.000
0.00446,0.000
0.00595,0.000
0.00744,0.000
0.00893,0.000
0.01042,0.000
0.01190,0.000
0.01339,0.000
0.01488,0.000
0.01637,0.000
0.01786,0.000
0.01935,0.000
0.02083,0.000
0.02232,0.000
0.02381,0.000
0.02530,0.000
0.02679,0.000
0.02827,0.000
0.02976,0.000
0.03125,0.000
0.03274,0.000
0.03423,0.000
0.03571,0.000
0.03720,0.000
0.03869,0.000
0.04018,0.000
0.04167,0.000
0.04315,0.000
0.04464,0.000
0.04613,0.000
0.04762,0.000
0.04911,0.000
0.05060,0.000
0.05208,0.000
0.05357,0.000
0.05506,0.000
0.05655,0.000
0.05804,0.000
0.05952,0.000
0.06101,0.000
0.06250,0.000
0.06399,0.000
0.06548,0.000
0.06696,0.000
0.06845,0.000
0.06994,0.000
0.07143,0.000
0.07292,0.000
0.07440,0.000
0.07589,0.000
0.07738,0.000
0.07887,0.000
0.08036,0.000
0.08185,0.000
0.08333,0.000
0.08482,0.000
0.08631,0.000
0.08780,0.000
0.08929,0.000
0.09077,0.000
0.09226,0.000
0.09375,0.000
0.09524,0.000
0.09673,0.000
0.09821,0.000
0.09970,0.000
0.10119,0.000
0.10268,0.000
0.10417,0.000
0.10565,0.000
0.10714,0.000
0.10863,0.000
0.11012,0.000
0.11161,0.000
0.11310,0.000
0.11458,0.000
0.11607,0.000
0.11756,0.000
0.11905,0.000
0.12054,0.000
0.12202,0.000
0.12351,0.000
0.12500,0.000
0.12649,0.000
0.12798,0.000
0.12946,0.000
0.13095,0.000
0.13244,0.000
0.13393,0.000
0.13542,0.000
0.13690,0.000
0.13839,0.000
0.13988,0.000
0.14137,0.000
0.14286,0.000
0.14435,0.000
0.14583,0.000
0.14732,0.000
0.14881,0.000
0.15030,0.000
0.15179,0.000
0.15327,0.000
0.15476,0.000
0.15625,0.000
0.15774,0.000
0.15923,0.000
0.16071,0.000
0.16220,0.000
0.16369,0.000
0.16518,0.000
0.16667,0.000
0.16815,0.000
0.16964,0.000
0.17113,0.000
0.17262,0.000
0.17411,0.000
0.17560,0.000
0.17708,0.000
0.17857,0.000
0.18006,0.000
0.18155,0.000
0.18304,0.000
0.18452,0.000
0.18601,0.000
0.18750,0.000
0.18899,0.000
0.19048,0.000
0.19196,0.000
0.19345,0.000
0.19494,0.000
0.19643,0.000
0.19792,0.000
0.19940,0.000
0.20089,0.000
0.20238,0.000
0.20387,0.000
0.20536,0.000
0.20685,0.000
0.20833,0.000
0.20982,0.000
0.21131,0.000
0.21280,0.000
0.21429,0.000
0.21577,0.000
0.21726,0.000
0.21875,0.000
0.22024,0.000
0.22173,0.000
0.22321,0.000
